prenoms;nombre;sexe;annee
Lirone;6;M;2004
Lisa;112;F;2004
Lise;42;F;2004
Lison;13;F;2004
Liza;6;F;2004
Loan;7;M;2004
Loane;7;F;2004
Logan;10;M;2004
Loïc;34;M;2004
Loïs;11;M;2004
Lola;73;F;2004
Lorenzo;32;M;2004
Loris;9;M;2004
Lou;133;F;2004
Louane;7;F;2004
Lou-Ann;17;F;2004
Lou-Anne;16;F;2004
Loubna;6;F;2004
Louis;237;M;2004
Louisa;15;F;2004
Louise;206;F;2004
Louison;17;F;2004
Louka;6;M;2004
Louna;29;F;2004
Luc;28;M;2004
Luca;25;M;2004
Lucas;189;M;2004
Luce;6;F;2004
Lucia;7;F;2004
Lucie;155;F;2004
Lucien;43;M;2004
Lucile;41;F;2004
Lucille;12;F;2004
Lucy;8;F;2004
Ludivine;28;F;2004
Ludovic;18;M;2004
Luka;19;M;2004
Lukas;24;M;2004
Luna;39;F;2004
Lydia;16;F;2004
Lylia;7;F;2004
Lyna;25;F;2004
Madeleine;28;F;2004
Mae;10;F;2004
Maël;44;M;2004
Maëlie;7;F;2004
Maëlle;41;F;2004
Maëlys;40;F;2004
Maeva;13;F;2004
Maeva;18;F;2004
Maëva;11;F;2004
Mahamadou;14;M;2004
Mahaut;9;F;2004
Mahe;6;M;2004
Maïa;20;F;2004
Maïlys;17;F;2004
Maïmouna;13;F;2004
Maïssa;9;F;2004
Maïwenn;12;F;2004
Makan;9;M;2004
Malek;8;F;2004
Malick;7;M;2004
Malik;7;M;2004
Malo;31;M;2004
Mamadou;45;M;2004
Manal;7;F;2004
Manel;16;F;2004
Manon;173;F;2004
Manuel;6;M;2004
Marc;36;M;2004
Marc-Antoine;7;M;2004
Marceau;12;M;2004
Marco;12;M;2004
Marcus;13;M;2004
Margaux;74;F;2004
Margot;95;F;2004
Marguerite;34;F;2004
Maria;21;F;2004
Mariam;43;F;2004
Mariama;13;F;2004
Mariame;14;F;2004
Marianne;16;F;2004
Marie;204;F;2004
Marilou;15;F;2004
Marin;27;M;2004
Marina;15;F;2004
Marine;64;F;2004
Marion;42;F;2004
Marius;54;M;2004
Marko;10;M;2004
Marthe;7;F;2004
Martin;118;M;2004
Marvin;10;M;2004
Marwa;11;F;2004
Marwan;11;M;2004
Marwane;8;M;2004
Maryam;12;F;2004
Mateo;25;M;2004
Mateo;14;M;2004
Matheo;38;M;2004
Mathias;49;M;2004
Mathieu;84;M;2004
Mathilde;143;F;2004
Mathis;142;M;2004
Mathurin;10;M;2004
Mathys;18;M;2004
Matias;10;M;2004
Matis;12;M;2004
Matisse;9;M;2004
Matteo;79;M;2004
Matteo;45;M;2004
Matthias;20;M;2004
Matthieu;91;M;2004
Maud;30;F;2004
Maude;9;F;2004
Max;48;M;2004
Maxence;97;M;2004
Maxim;8;M;2004
Maxime;223;M;2004
Maximilien;35;M;2004
Maya;41;F;2004
Mayeul;7;M;2004
Maylis;18;F;2004
Mayssa;8;F;2004
Mehdi;61;M;2004
Melanie;33;F;2004
Melchior;9;M;2004
Melina;13;F;2004
Meline;6;F;2004
Melissa;41;F;2004
Melissa;15;F;2004
Melodie;9;F;2004
Melvil;7;M;2004
Melvin;14;M;2004
Merlin;11;M;2004
Mia;15;F;2004
Michaël;9;M;2004
Michel;11;M;2004
Mickaël;18;M;2004
Miguel;12;M;2004
